id_all,question,statement1,statement2,new_label,resolution,percent
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+51e7a7f0-6f0a-4f38-aa8a-e4502773ff34+c99deb7f-33ed-4048-9f7c-e7481c08015e,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",support and alliance. fight together for common goal,Soldiers working together to achieve their goals,,0,0.75
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+61c8edb7-f071-45ae-9fd8-b59ceaba6a0a+dbc5a166-650b-437b-b7ae-dff803dc1817,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Nato is often involved in military conflicts.,Royal Canadian Navy is training with Nato Allies to keep Canadian seas safe,,0,0.75
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+6f2a173c-81de-474f-8438-28aac5b1e6b6+b82cb226-f226-4355-89e3-9a9e99d7568b,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",group of country gather forces to protect each other,International peace and protect organization of 28 countries,,0,0.818181818
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+72ff9034-4e31-4103-911f-9d6030de9f09+1d63dea0-ebdc-4798-afd5-d687a61d19aa,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Armies of different countries working together,Work with other countries to maintain security and aid when necessay,,0,0.818181818
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+92ac303f-5753-4e41-adee-2e6f5b70c6fd+fbe2a5f2-c39d-46c6-b1f4-5084e14ba398,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",That Canada is actually really involved with NATO,"That NATO includes Norway, Netherlands and United States as well as Canada",,0,0.818181818
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+92ac303f-5753-4e41-adee-2e6f5b70c6fd+ffab8eca-83f4-4f8a-af51-85d4b92deb15,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",That Canada is actually really involved with NATO,Canda is dedicated to NATO,,0,0.8
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+98cceea5-954d-4f34-9706-dc451a294445+9ff03578-4c55-4068-a922-f99e4bae4aae,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Together we are stronger,We are stronger together,,0,0.833333333
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+b32d620d-9a4b-4a2a-b70e-5015f7ca2909+51e7a7f0-6f0a-4f38-aa8a-e4502773ff34,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",28 countries work together to keep the peace.,support and alliance. fight together for common goal,,0,0.833333333
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+cd5f73d3-f6f3-4d36-9196-bf728f328861+aa57e178-84ea-4789-863c-ef8aa3c2ca0b,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",PEACE,NATO IS THERE AND HELPS TO KEEP PEACE IN THE WORLD,,0,0.818181818
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+e1379e01-f180-4d76-aafb-005fc1a44766+dbc5a166-650b-437b-b7ae-dff803dc1817,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",That Nato provides security in times of conflict,Royal Canadian Navy is training with Nato Allies to keep Canadian seas safe,,0,0.777777778
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+f3413d15-fe34-4916-a3d3-2a344f0f9e67+2e39dc75-9351-4154-891c-f74822ad5ac1,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Military alliance with other counties,NATO works as an alliance of countries,,0,0.75
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+f3413d15-fe34-4916-a3d3-2a344f0f9e67+9102c442-6de0-48ab-82fc-866bf6a539d2,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Military alliance with other counties,That NATO forms alliances and aids likeminded nations.,,0,0.785714286
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+fc457e08-7cc9-46ba-a1a9-1d0121806b1d+ac8057f0-d078-4d9d-89bf-4009bee6d476,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Alliances are good,"The message is that NATO helps keep Canada safe, that we are a key part of the alliance",,0,0.777777778
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+fc457e08-7cc9-46ba-a1a9-1d0121806b1d+c99deb7f-33ed-4048-9f7c-e7481c08015e,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Alliances are good,Soldiers working together to achieve their goals,,0,0.8
014f05de-2273-5da6-4207-29af47a1cdc6+9c1500b4-a079-4b9a-b20c-3cb9f54d56c1+fc457e08-7cc9-46ba-a1a9-1d0121806b1d+f3413d15-fe34-4916-a3d3-2a344f0f9e67,"Thinking about what you just saw, what was the takeaway message for you? Please be detailed and specific.",Alliances are good,Military alliance with other counties,,0,0.777777778
01fadb53-5c22-2f2c-8465-a1b81de74dc3+e4df0e3f-fb9e-4295-bafe-befe6d7a2134+4750c417-634d-4346-9804-6aa9e3f1a66f+936d16ba-8ecc-4317-9b9a-faf605f4c97b,Imagine you are looking for an analyst firm. What offerings are most important to you?,Outcome - Market / insight or influence,insight,,0,0.777777778
01fadb53-5c22-2f2c-8465-a1b81de74dc3+e4df0e3f-fb9e-4295-bafe-befe6d7a2134+4750c417-634d-4346-9804-6aa9e3f1a66f+dce88388-6dc8-4445-860d-737cd1f06f80,Imagine you are looking for an analyst firm. What offerings are most important to you?,Outcome - Market / insight or influence,research and insight that is current and relevent,,0,0.777777778
01fadb53-5c22-2f2c-8465-a1b81de74dc3+e4df0e3f-fb9e-4295-bafe-befe6d7a2134+7e650429-3be9-4644-9991-64f35252080f+6a6e04b9-827b-4174-84cb-cb0ed098f711,Imagine you are looking for an analyst firm. What offerings are most important to you?,analysts that can help us with market awareness,I'm looking to create awareness of our value proposition and thought leadership,,0,0.75
01fadb53-5c22-2f2c-8465-a1b81de74dc3+e4df0e3f-fb9e-4295-bafe-befe6d7a2134+9c0037f2-9cc4-45e9-b3c8-15f2b43de0e1+1cbf4c7c-787f-41ea-a7c1-dfb05ae3615b,Imagine you are looking for an analyst firm. What offerings are most important to you?,Briefings,Briefing,,0,0.777777778
01fadb53-5c22-2f2c-8465-a1b81de74dc3+e4df0e3f-fb9e-4295-bafe-befe6d7a2134+e2ac9a1a-0126-49bb-818c-8abb139bdc86+8bc766cc-9a57-403c-a5e0-f90473b6b6c1,Imagine you are looking for an analyst firm. What offerings are most important to you?,Understanding of our customers and markets,Market intelligence,,0,0.818181818
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+10e968f4-e046-45d9-b28f-bfdeab413de9+7c2844e8-0bbf-4dbc-8c31-f8d3c0746113,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,"The colors, and design",I love the design of the logo and purple is my favorite color.,,0,0.8
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+10e968f4-e046-45d9-b28f-bfdeab413de9+e2620613-c21c-4c2c-817e-ef9f913362f7,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,"The colors, and design",The colors,,0,0.75
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+15e09aa0-422d-4fb5-aed5-45fe0d94cf16+1d2da836-dacd-47c5-82c5-67ebfaf9d469,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Adding a splash of colored allowed the logo to stand out,Color contrast,,0,0.75
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+15e09aa0-422d-4fb5-aed5-45fe0d94cf16+488cdc8b-e48b-4ec7-bb89-afe62a372c3d,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Adding a splash of colored allowed the logo to stand out,I like the color and the letters.,,0,0.8
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+15e09aa0-422d-4fb5-aed5-45fe0d94cf16+bb8431f7-586a-41f6-ae9b-b8b84e2604e0,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Adding a splash of colored allowed the logo to stand out,With the color added it was much better. I like the color scheme.,,0,0.8
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+15e09aa0-422d-4fb5-aed5-45fe0d94cf16+fc09ff1c-175b-486d-9490-bdae3de502d1,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Adding a splash of colored allowed the logo to stand out,I like the pop of color,,0,0.833333333
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+1d2da836-dacd-47c5-82c5-67ebfaf9d469+10e968f4-e046-45d9-b28f-bfdeab413de9,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Color contrast,"The colors, and design",,0,0.777777778
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+1d2da836-dacd-47c5-82c5-67ebfaf9d469+495b0df4-6152-406f-a196-9314f4a9b6f5,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Color contrast,the colors makes the logo stand out vs the black and white,,0,0.8
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+1d2da836-dacd-47c5-82c5-67ebfaf9d469+fc09ff1c-175b-486d-9490-bdae3de502d1,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Color contrast,I like the pop of color,,0,0.785714286
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+1d2da836-dacd-47c5-82c5-67ebfaf9d469+fd5494e4-34e4-4242-952e-a2e79b6224d0,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Color contrast,The color sheme,,0,0.833333333
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+1d87a666-b196-469c-bcab-562d3d7375f7+1d2da836-dacd-47c5-82c5-67ebfaf9d469,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The colors are more appealing than the previous,Color contrast,,0,0.8
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+1d87a666-b196-469c-bcab-562d3d7375f7+cc7b2081-6471-4f6d-8cff-90f2705cafd3,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The colors are more appealing than the previous,The color,,0,0.75
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+254a52b2-77f2-4746-8dd2-44a62307e994+10e968f4-e046-45d9-b28f-bfdeab413de9,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,like the color combinations,"The colors, and design",,0,0.777777778
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+254a52b2-77f2-4746-8dd2-44a62307e994+1d2da836-dacd-47c5-82c5-67ebfaf9d469,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,like the color combinations,Color contrast,,0,0.75
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+254a52b2-77f2-4746-8dd2-44a62307e994+ab84ca0a-305f-456b-82f2-d153e9f1b4ae,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,like the color combinations,The colors and simplicity.,,0,0.75
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+254a52b2-77f2-4746-8dd2-44a62307e994+f6611e68-2ffa-4ce5-be17-e3fd97b0757c,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,like the color combinations,The color is eye catching.,,0,0.777777778
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+254a52b2-77f2-4746-8dd2-44a62307e994+fc09ff1c-175b-486d-9490-bdae3de502d1,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,like the color combinations,I like the pop of color,,1,0.85
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+254a52b2-77f2-4746-8dd2-44a62307e994+fd5494e4-34e4-4242-952e-a2e79b6224d0,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,like the color combinations,The color sheme,,0,0.777777778
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+2a1ec853-82f0-4c7b-bc2b-1149ef6ddc03+10e968f4-e046-45d9-b28f-bfdeab413de9,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The choice of color,"The colors, and design",,0,0.818181818
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+2a1ec853-82f0-4c7b-bc2b-1149ef6ddc03+254a52b2-77f2-4746-8dd2-44a62307e994,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The choice of color,like the color combinations,,0,0.833333333
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+2a1ec853-82f0-4c7b-bc2b-1149ef6ddc03+488cdc8b-e48b-4ec7-bb89-afe62a372c3d,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The choice of color,I like the color and the letters.,,0,0.823529412
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+2a1ec853-82f0-4c7b-bc2b-1149ef6ddc03+76147f05-c2e0-4c7d-866c-6c9ae024d790,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The choice of color,THE BRIGHT COLORS,,0,0.764705882
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+2a1ec853-82f0-4c7b-bc2b-1149ef6ddc03+cb649839-8b6b-4260-8eb7-b162d4f0a4f8,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The choice of color,"Blue and purple are my favorite colors (I find them peaceful, which would be associated with sleep).",,0,0.785714286
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+488cdc8b-e48b-4ec7-bb89-afe62a372c3d+a66fe120-627f-47cb-aa90-f6632c7817d3,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,I like the color and the letters.,I like how simple it is but I also really like the soft colors.,,0,0.75
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+6807e2c7-8ff3-4bd0-8955-3d1cb70207e9+ff6c0d4a-b086-49a8-989b-abf098db23d8,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Color scheme,I love the colors and simplicity of the logo.,,0,0.8
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+76147f05-c2e0-4c7d-866c-6c9ae024d790+fc09ff1c-175b-486d-9490-bdae3de502d1,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,THE BRIGHT COLORS,I like the pop of color,,0,0.818181818
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+a40cbcd8-8973-47fb-8515-31a51bfcdacf+495b0df4-6152-406f-a196-9314f4a9b6f5,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,Coloring is better than black and white,the colors makes the logo stand out vs the black and white,,0,0.777777778
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+ab84ca0a-305f-456b-82f2-d153e9f1b4ae+9c293922-92b6-4d45-bd44-f38c65bbf153,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The colors and simplicity.,I like the coloring. It sends the message of calming and sleep,,0,0.777777778
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+b6d577e5-74ed-47b1-993f-49a90c25bfbe+a6140fa3-685c-4dea-96b4-66f1cd039da9,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,very nice,Looks nice and simple and very easy to read the brand. It's not too complicated looking or confusing,,0,0.8
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+c726b52d-d937-4a17-9900-4f68974d3b7b+97bab6c7-a943-41cc-9a11-cfdc93d241e9,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,the s i in the circle,the design in circle,,0,0.8
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+d34adfb0-259f-401f-bee1-48d0a3d71f41+9c77cdb2-d387-44a7-b568-70f236428d43,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,nice colors,The blue is calming,,0,0.777777778
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+d34adfb0-259f-401f-bee1-48d0a3d71f41+b8cc3e3c-15f0-410f-8830-60f895bf4417,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,nice colors,The colors are appealing to me. They are relaxing and pretty colors.,,0,0.777777778
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+e2620613-c21c-4c2c-817e-ef9f913362f7+9c293922-92b6-4d45-bd44-f38c65bbf153,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The colors,I like the coloring. It sends the message of calming and sleep,,0,0.833333333
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+fd5494e4-34e4-4242-952e-a2e79b6224d0+07613b19-41fc-4f34-ba89-d0bdad116d4a,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,The color sheme,color,,0,0.8125
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+fd97d7c8-758b-4c6c-b35a-231181c7e7fe+7c2844e8-0bbf-4dbc-8c31-f8d3c0746113,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,"Nice soft colors, no hard edges in the logo",I love the design of the logo and purple is my favorite color.,,0,0.75
04792e1b-a957-494a-b3dd-85e1fe9b5191+ec43f550-f3db-4f21-8d85-48aa7c98a8c2+fd97d7c8-758b-4c6c-b35a-231181c7e7fe+d34adfb0-259f-401f-bee1-48d0a3d71f41,You said this logo is appealing to you.  Please tell us what specifically you find appealing.,"Nice soft colors, no hard edges in the logo",nice colors,,0,0.8125
0884fc2e-21ec-402b-8c14-bf6c9a507562+ff3c350d-552c-4316-83ae-4cded2050c63+5d6e8a2d-149a-4120-9e37-1150467609e7+1bbf0e87-dfa0-4060-9b1d-663c32252594,We’d now like you to get creative and think about what the most luxurious/premium combination of chocolate coated treat would be for you. Feel free to consider as many flavours/ingredients as you like.,Lindt mint,dark chocolate and mint,,0,0.75
0884fc2e-21ec-402b-8c14-bf6c9a507562+ff3c350d-552c-4316-83ae-4cded2050c63+a4f805f7-78c2-4c5f-8c3f-1b8daab55c4d+4a789d76-3dc5-45ab-ba55-31d554b1a901,We’d now like you to get creative and think about what the most luxurious/premium combination of chocolate coated treat would be for you. Feel free to consider as many flavours/ingredients as you like.,Milk chocolate with hazelnuts,Hazelnut milk chocolate,,0,0.785714286
08e43aa0-ebae-e306-8ba8-a015b79fe4f6+1477bf9f-8090-40f0-9e63-b4cf0fd3f59e+1e2ee5f6-e2f3-4878-b757-4547d3fe6607+375f0289-28c7-4d9d-b2a5-663c0d02cd7b,Please tell us about {{selectedCoffeeName}}. Why do you visit specifically this chain of coffee shops? What works for you?,I love their coffee,they have great quality coffee,,0,0.818181818
08e43aa0-ebae-e306-8ba8-a015b79fe4f6+1477bf9f-8090-40f0-9e63-b4cf0fd3f59e+1fbf21ea-9061-48e9-baec-1c7ced03770d+19e29a60-8351-4725-b3fa-9a8446ee134d,Please tell us about {{selectedCoffeeName}}. Why do you visit specifically this chain of coffee shops? What works for you?,I like the coffee and non-coffee drinks,I Like the coffee and the donuts,,0,0.75
08e43aa0-ebae-e306-8ba8-a015b79fe4f6+1477bf9f-8090-40f0-9e63-b4cf0fd3f59e+3553b3bf-7f6b-40f1-a5af-993cafe3de84+ff14997e-7539-48c6-a138-c00d257bd0f7,Please tell us about {{selectedCoffeeName}}. Why do you visit specifically this chain of coffee shops? What works for you?,place to sit with a friend,Friends,,0,0.833333333
08e43aa0-ebae-e306-8ba8-a015b79fe4f6+1477bf9f-8090-40f0-9e63-b4cf0fd3f59e+398d712d-7d5f-493d-8958-589e718a78b1+73d5f4eb-1820-41dc-9c9b-e84b91bce81c,Please tell us about {{selectedCoffeeName}}. Why do you visit specifically this chain of coffee shops? What works for you?,they have a drive through,My Starbucks has a drive through,,0,0.818181818
08e43aa0-ebae-e306-8ba8-a015b79fe4f6+1477bf9f-8090-40f0-9e63-b4cf0fd3f59e+3e509440-8b76-4aa4-8d64-691fda051081+19e29a60-8351-4725-b3fa-9a8446ee134d,Please tell us about {{selectedCoffeeName}}. Why do you visit specifically this chain of coffee shops? What works for you?,I love the taste of their coffee,I Like the coffee and the donuts,,0,0.75
08e43aa0-ebae-e306-8ba8-a015b79fe4f6+1477bf9f-8090-40f0-9e63-b4cf0fd3f59e+448d52e6-64cb-4443-a423-2084ea11839a+6cbc1c42-0b57-41e1-9853-2a9edc2db119,Please tell us about {{selectedCoffeeName}}. Why do you visit specifically this chain of coffee shops? What works for you?,I love the atmosphere and the drinks.,I like the atmosphere,,0,0.818181818
