sentiment_hq,statement
0.931248486,it's what I wanted
0.6021372079999999,When I want to ask questions of an author about a book
0.905293763,Incentives to individuals who are well
0.6187491420000001,construction
0.35312786700000004,I need some gas
0.9485692379999999,Well-rounded brand
0.046015669,don't use that product
0.8386900429999999,This app will save money on premiums for safer drivers.
0.086587064,the size of the cup was large
0.5666062829999999,storing non food items
0.085888736,I WOULD REPORT COMPANY TO BETTER BUSINESS BUREAU AND RETUN HEDO OTE COMAY ADGTMY MNEY BACKI IMMEDATI
0.976177871,Tires that last a long time and hold up to all conditions and uses.
0.708541691,the reputation of the doctor and age
0.952866733,Product is good to add to your own reciepes at home
0.812781393,Not have to use phone and better reward
0.6971302629999999,All citizens will be covered in varing increments
0.958649159,Great
0.172970265,None
0.860194743,I would buy it because it is fast
0.95112747,One I trust with my future children and I trust
0.98845005,Healthy is fit and energetic.
0.722725809,Safety means having a fully functonal car
0.93405813,that my daughter likes the movie
0.537317634,There are various forms of cleaning power in the different products within this brand.
0.24362900899999998,to take items to work in
0.8224557640000001,reduced cost gym facility
0.904005528,works when you need it too
0.719187975,Kids would love them
0.765104592,last as
0.994905472,A great value for a great brand
0.8688724640000001,The ability to save money by becoming a loyal coustormer
0.069784045,"It will be completely dismantled. Unfortunately, the Republicans never gave it a chance."
0.4481594270000001,I've never seen this before
0.9655260440000001,vote to help our country
0.930410862,Unique
0.7774193290000001,"I expect the ""new"" leadership to bring oversight, accountability and affordability to the ACA."
0.9306792620000001,I use the rewards program to get free or discounted food.
0.717983723,Retro styles
0.431366861,can make skin better
0.332684696,Same doctor just better medicine
0.7013111120000001,won't slip on wet or icy conditions
0.40686625200000004,It was simple
0.120549999,"It seemed like it was a regular pack, it should be ok to buy"
0.644925773,Knowing discounts on fave foods
0.035266165,It was hard to transfer points
0.36565229299999996,Label ingredients
0.466369122,roller item
0.8055018190000001,Availability.
0.97787416,fit and well
0.60183382,tabletop setup that takes up very little space
0.8697853090000001,"Who doesn't love free things, so why not earn points to reach your goal into a free meal item"
0.988625348,We use them for leftovers and for portioned snacking
0.65050298,Less burden on the states to pick up the overflow
0.65101105,"Philippines is a very hospitable country,"
0.472494662,Con: online platform is less likely to offer reliable/accurate advice.
0.6651098129999999,Better eta
0.11235813800000001,I would complain to the store
0.947957814,It is new and interesting
0.8089768890000001,Anything can happen while driving. Be prepared
0.25346759,Discounts and promotions
0.8468706009999999,Current and upcoming decisions facing the city
0.342062861,I wouldnt even know where to start!
0.713241518,Much more detailed and advanced
0.679873347,Steak-EZE
0.25158697399999996,cost of the chicken per pond
0.5407257679999999,In network
0.935432673,The chicken is in unbreaded and already in strips making it easy to prepare various meals quickly.
0.15250608300000001,I like old program better
0.12578851,"pre-existing conditions should not be reason to deny health insurance. (""Sick pools"" may be needed)"
0.427272886,little mermaid toys
0.204576388,I think its a good idea I just don't have a need for it
0.158306181,Repeal would destabilize the healthcare industry as the burden of care would fall to providers.
0.680378795,food
0.97599721,Focus on high quality treatment
0.097057067,I would look for the picture of the product followed by the price
0.589489579,"Where road work or pipelies, etc is being done that will affect travel"
0.8859790559999999,Good name of Estee Lauder
0.574491203,when travelling
0.6659405829999999,TO STORE OPEN PACKAGES OF COOKIES
0.88832587,They will work as intended and last the miles indicated
0.9152655009999999,keep vegetables and fruits fresh until I am ready to them
0.9552966359999999,Means they hold up well under normal wear and tear.
0.9422488809999999,the food is great
0.436193049,"hopefully better, but I'm uncertain"
0.8160545229999999,Important
0.535998523,flavors that i would eat
0.93138051,Nice store.
0.5370020870000001,troubleshooting and tech support for the process
0.8638460640000001,satisfaction
0.9861669540000001,"the start to an easy, quick, tasty meal"
0.01778538,The bland color was unappealing.
0.215269193,It's an expensive hobby.
0.705096602,real ingredients
0.9868334529999999,High quality
0.45541688799999996,turkey wrap
0.991432428,great and helpful
0.9645570520000001,they are fast and always good customer service and their coffee is gooddifferent
0.9350183609999999,Coca-Cola makes me think of my childhood.
0.567864478,INVEST MORE TO BOOST THE ECONOMY
0.954052687,Would purchase for convenience
0.8775465490000001,Fun option for kids but I would wonder at the cost.
0.543438077,home shopping
0.4080595970000001,Comparing to others within a religious context
0.5005944370000001,VPN
0.147944123,penalty on remaining uninsured if can afford to buy
0.911231041,Seeing many doctors.  Doctors to work together to give you better health care
0.9018369909999999,Keeping doctors connected so I don't have to repeat my information with each visit.
0.596994579,Aco
0.43590992700000003,Doctor interaction should be the same. Technology will be far advanced
0.558321953,I haVE NO MONEY TO BUY A PHONE AT THIS TIME.
0.955309629,fun to experiment
0.9851791259999999,The tires have good traction for all types of roads and weather
0.87888515,Pizza and a fountain drink
0.24363490899999998,"It listed that it is all natural, no antibiotics"
0.957366467,Good color & smell
0.06014913,old door broken
0.34821748700000005,it would be good for boys
0.033484239,I dnt expectnothngdiferent
0.7071603540000001,The investment and money you'd have to put in
0.307362646,Cleaning off make up
0.994920075,Good company.  Well organized and it was pleasant.
0.7240491509999999,"Annual event calendar, when dates are selected"
0.525255561,I wish I had worked an extra job before law school to save up extra money.
0.985849738,great company
0.8251928690000001,Improve the garden
0.975850344,"Long lasting, all weather and quality"
0.581590772,Notification of changes
0.568647742,design thinking
0.935836911,"I love the pattern, the swirl and"
0.346808702,go to the zoo with the kids
0.071917728,I felt rushed once a rep was available.
0.790420294,Cleaning hands anytime.  Would be good in the car. At  home. good for anytime there is not a sink!!!
0.5509474870000001,I needed someone who would coordinate with my oncologist
0.899640262,protect
0.460352451,Their main product is beef
0.988081455,Offer incentives/rewards for improving health
0.945057809,The associates are comfortable answering my questions
0.930230856,I value coffee of high quality
0.955159605,I enjoy salads more than the other options.
0.983797371,Safe tires handle well in different driving conditions.
0.663248301,Increase costs
0.9167488220000001,Working online.
0.493463159,When grocery shopping to clean my hands
0.708433509,speed
0.563975155,Free food for already eating there? I'm in!
0.756410956,Mandatory enrollment in a helath plan
0.360822737,religion
0.69881779,easy to get ingredients
0.768258095,fruit storage
0.98623395,Super cute
0.393688321,Reliability means everything. Nobody wants a blowout while driving.
0.373434693,SOme manner of sales tool (federal excahnge maybe)
0.506183386,cooked italian
0.12011680000000001,file complaint
0.097799495,the old one was broken
0.9773335459999999,Fun project
0.062884763,i wouldn't be comfortable with this action
0.693372905,Safer driving can save you money
0.682551444,The sales person was very polite and explained all of the features and plans to me
0.669485927,"i think they are slightly overkill for a healthy baby, but would be an amazing thing for sick babies"
0.823722363,"I store ingredients for cookies in plastic bags. I also store the kids' crayons, color pencils ."
0.68354243,They were professional
0.973153293,helps small business
0.121311501,I would like to see a calendar listing the city coucil agenda as well as the deadlines.
0.946388841,Providing ready help for diabetic patients is crucial
0.9908881190000001,These are high quality expensive items at a bargain
0.8121646640000001,FOX HOT ROD GROUP
0.00654373,She seemed distracted and did not show me many options.
0.08113496,NO FEELINGS
0.137220219,No easy access to the necessary materials
0.533810735,For storing paint brushes
0.015313205,this is taking way too long
0.013868081,"Liars, cheats, uninformed, poorly trained"
0.939076245,Characters my kids like
0.91723144,Last a long time
0.61626327,de-funding of Medicaid expansion
0.735886335,The service was fast
0.961871624,Nike is a well known quality shoe that is well made.
0.92004925,fun for small children
0.7612507340000001,ability to create
0.811105788,Universal benefit requirement
0.064876013,Trying to push more women into business that may not want to be there
0.91642338,A new walk way in the garden
0.9308671359999999,I enjoy Qdoba and there are convenient location to my home and work
0.014081033,"not fair to the dog and dishonest.  I would want them to stop doing that, or shut down"
0.729407609,the brand
0.013944776,Too difficult
0.6584228870000001,promoting a product with the incredible logo
0.712939799,I had an interview with the doctor before I chose her....I asked her questons about her practice and
0.0028853140000000004,Not a good value
0.77410692,i imagine it will be good
0.191726148,Wxpect that the entire act will be repealed except Pre-existing Condition
0.942272723,I enjoy things like potao salad to pair with foods like hot dogs and hamburgers.
0.032202378,It means nothing to me
0.905893445,maintain performance
0.603184581,I like the taste of the food but I don't have a lot of time to make dinner so I need something that
0.7983435390000001,mandate for participation
0.8550772670000001,energy
0.875924826,DISCOVERY AUTO GUIDE MEDIA
0.64617008,Coffee for you
0.7140757440000001,Something kids would enjoy
0.28023704899999996,would be a cool thing for kids
0.59621352,MyCoffeeNow
0.575356245,Vegetarian raised chicken
0.994323134,good traction
0.34344431799999997,choice of sides
0.512006581,"Maybe with having characters on the bags, it will get kids to eat healthier cereals like Cherrios"
0.330609232,Access w/o preexisting conditions
0.669857919,The consultant showed me different options
0.98929292,Fresh instant coffee sounds great
0.340728015,more deaths for those with less money
0.218281075,to put leftovers in
0.325074166,that they do not go flat or fail to be useful
0.49000883100000003,The penalty for not having some form of insurance.
0.9910249109999999,Helps me stay close with friends and family which makes my mental health better.
0.471133739,Volume of cars and pollution
0.17620509899999998,There was no one at the store who wanted to help me find a phone.
0.948765993,Have your A1C tested every three months. Follow-up with your doctor regarding your diabetes.
0.838855028,fast
0.687811136,it looks like it is appetizing
0.833115339,the ability to choose what channels I buy
0.911146045,Mandatory requirement for insurance
0.723615468,navigate new areas
0.236213476,Local standards are unreasonably high.
0.59621352,competiion
0.961173534,Friendly staff
0.9552410840000001,amazing
0.369410753,more use of email and technology
0.31989529699999997,I think Trump will repeal all of it.  I work as a temporary worker and I  need help with medical ins
0.35458672,"The local restaurant in Grafton, WI seems to not like the use of the new program.  Actually because"
0.710664868,"30 seconds is a little slow, but i would consider for fresh coffee"
0.603497386,I would get the dog to the vet. Take care of it's needs .  then turn around and sue the pet store.
0.930082977,Have the current women in the program provide help to those applying
0.6804713609999999,Power speaks and weakness is left behind.
0.339493215,store leftovers
0.980432868,Good tires
0.741662741,Japanese food
0.26460865100000003,"they will try and repeal all of it, especially guaranteed issue, minimum benefits and community rati"
0.80167979,How much you like soda
0.7625398640000001,Hygienically packaged
0.195837423,FOX MOTOR TREND MEDIA
0.236482188,Package too busy
0.354211509,She seems bad ass
0.201442331,Ordered in chineese food
0.923392057,Where can I get this great offer
0.61817497,"development digital India, IT education development"
0.603205204,Must be trimmed well. No extra fat or gristle.
0.44685998600000004,I want a drink
0.022926236000000003,i wouldnt use it
0.34087473100000004,All of it. They will retain aspects of it like pre-existing conditions and age 26 for children
0.9618774059999999,interesting and fun
0.9739924670000001,grand openings of new businesses
0.185057372,one cup for 11.99
0.985388935,Offered services at a good price.
0.9762548209999999,I am fully aware of this practice and aware of which stores are guilty. I keep this in mind when vie
0.540333808,Decorative bags may be more fun to use.
0.12147860199999999,There should be limits on what drug companies can charge for oncology drugs and other medications
0.967085779,very good excellent
0.283762604,plastic surgery
0.257194072,I don't care how nice a Dr is I want the best not the nicest
0.796326757,To keep me safe
0.9578894379999999,"high priced item, but worth it."
0.845608652,More specials
0.557273924,Taking a class or a diy book that maps out how it is cheap and easy.
0.435272276,apocalypse
0.996466815,"Very nice, and modern, packaging with a quality looking meat."
0.3563402,More money than I want to spend on a gift
0.958101392,Reliabilty means that I can depend on the tires to keep me safe and to not break down on me so soon.
0.93173039,"Sandwiches, chips, raisins, and cookies for lunches."
0.371401221,Drive costs of coverage up.
0.296346903,burning leaves
0.627987266,The name
0.397183448,The tires wno't blow out unexpectedly
0.112178266,freezing
0.7753110529999999,effectiveness
0.32986933,Before going to a concert of the celebrity
0.373136491,Video chat
0.911688685,They feel good about their lifestyle
0.517742276,it is from estee lauder
0.639656067,those in need losing care
0.831558943,choices
0.990051925,"Very friendly, outgoing and helpful"
0.728571355,to be able to share ideas with celebrities.
0.5933443310000001,Oh no! My husband would love this.
0.8473440409999999,having durable tires mean long lasting and will not wear and tear for a long time.
0.523198664,Something
0.183059499,Mandated coverage of birth control and abortion
0.918752074,peaceful life
0.987380803,The fit of a Nike shoe is well balanced and comfortable.
0.652305305,"Good deal but there are too many items not my color, etc."
0.985809505,A tasty video showing them how to start
0.7214261890000001,that the tire will hold up for the suggested life withoutfailure
0.016944332,It has no flavor
0.5509767529999999,The Mormon church
0.887633681,Online job applications
0.476033747,enough to feed all the date the prive and the color of meat
0.963369191,They have a well laid out store with a lot of products to try out.
0.5802628989999999,I'm interested in the secret formula concept
0.8971365090000001,the thickness of tire and capability of holding up well
0.505539715,Microbreweries attract a lot of likely people. They should run workshops and push home kits.
0.520490944,Childs snacks
0.950381875,Make rewards easily understood. Old program was straight forward
0.014775555,It was leaking
0.783909321,I wanted to refresh the appearance of my house.
0.970589101,I like the design on it and my children would love it too!
0.28093788,I perfer their coffee to others
0.57087338,Looks
0.849976361,repeal maximum benefit
0.7244510059999999,For lunch snacks
0.7837339040000001,To have an external benefit from eating at qdoba
0.8841608759999999,I like the brand.
0.8100884559999999,it seemed the most appetizing
0.22918313699999998,Good brand but bad for veteran subscribers of sprint.
0.031968623,It wont wear
0.96904391,The sales consultant was very nice and helpful.
0.9150260090000001,easy to get to
0.838888168,He discusses the potential of repealing all of this which will send the process into a
0.12486326699999999,freeze
0.079731599,I don't normally purchase this type of beef strips.
0.912341595,I was pleased with my experience
0.8514473440000001,How reliable is the phone
0.99732995,great value for quality products
0.667828441,xxxxx
0.8839592340000001,We'll reward you for you're safe and responsible driving.
0.464037329,"First, that they will last as long as the manufacturer says they will. also, that they will function"
0.382731289,haven't had the time
0.307575077,I think they would like to try
0.058611058,i'm afraid the other options wouldn't taste good
0.72954458,"Because no antibiotics, chicken fed vegitarian, it's meant for the oven, and high protein"
0.843425214,my family
0.429387122,To put sandwiches in for lunch
0.074350409,I think the packaging looked cheap
0.954201937,Cool recipes to try
0.437317491,Seems no different than Verizon store
0.1901142,safe drivers pay for unsafe drivers
0.213544652,Stop investments in certain areas
0.675213933,selections
0.14038182800000001,"None, just make it more fair"
0.743885756,will hold up
0.485338152,Amount in the pack
0.48506161600000003,Price.
0.874534547,I loved this idea
0.693465769,bring lunch to work
0.9667347070000001,Employees that stay friendly and social with the customers.
0.874222875,local events/activities
0.051451199,I dont drink beer
0.8436077829999998,to keep my personal information secure
0.006268441,It was confusing to me. So much small print.
0.088895284,unnecessary
0.66514796,Can count on performance
0.830708087,As i think she is a good actress
0.449469805,An online platform may be difficult to use because the consultations would depend on self-diagnosis.
0.874221742,elimination of the mandate that everyone have insurance
0.43542397,might go on social media
0.480297685,worried about kids
0.249838382,covering of children to age 26
0.86187619,easier diagnosis
0.42972976,Chocolate creme and orange
0.8606250879999999,Their hours of operation and availability
0.84136951,Universal Coverage
0.549937189,School lunches
0.20280376100000005,The packaging is very plain
0.712716043,The new plans with AT&T and the iPhone are truly expensive.
0.447669745,Requirements to have insurance or be penalized
0.7508568170000001,will be dealing with more health issues
0.670015872,Actual person
0.981934309,this sounds like a good action packed thriller which will have many twists in the story
0.250932694,Someone who is mentally and physically healthy
0.601316929,swderty
0.00132478,This is a terrible survey. Maybe the worst I've ever seen.
0.80635941,"kids would love to have their school snacks, sandwich, erasers, glue, school supplies kept in these"
0.186863095,swimming with the kids
0.870104373,"Was curious didn't know they did this so close to where I live, Interesting, possiblilities"
0.9967732429999999,great for storing snack items
0.731829405,Health care will be less expensive or free.
0.23405811199999998,My medical problems are such that they will be worse by then
0.24635316399999999,the coffee would be fresh
0.9329350000000001,There was a great selection.
0.011918065,Not working consistently before coming to law school
0.9757764940000001,Qdoba is my favorite mexican restuarant
0.244501948,Where it comes from and if it is free range.
0.897341609,reduce your carbon footprint
0.065435201,$65 with any product which is mostly around $65
0.9041640759999999,The customer service is very friendly.
0.7500009540000001,HAVE A CLEAR WINDOW ON PACKAGE SO I CAN SEE PRODUCT.
7.996160000000001e-4,Not helpful at all
0.971426129,IT LOOKS TASTY
0.32171440100000004,amount of protein and calories
0.538131118,Should be legal
0.08596221400000001,Cheap Price
0.849492848,Have more choices of coverage
0.098769404,They want to do something else/not interested in majoring in buisness
0.98741287,good road handling in all weather
0.8972104190000001,More like barbie - elegant
0.8595919009999999,you can clean things
0.7916766409999999,i use gps to navigate
0.013632917,Was never offered new program
0.849378049,I would buy it because it looks like quality meat and would be easy to prepare
0.92821157,I use them for leftovers
0.927589595,more comfortable
0.6396402720000001,CMMI changes
0.8549141290000001,taking new patients
0.979815364,The reward system is easy to use and you get a lot of free delicious food. The food at qudoba is goo
0.983067215,A salad offers more variety and fills me up faster.
0.201218829,it would be fresh
0.5176522139999999,store dry goods
0.728744507,disney-themed
0.951634705,Easy shopping experience
0.95743674,they are rugged
0.001264255,Poor customer service to existing customers. Not willing to find solutions and when advised that I
0.38496208200000004,Glad I do not have kids!
0.8976342079999999,Personalized care
0.093660109,that the picture would wear off
0.089370936,cheap
0.46542531299999995,Group support for those with depression.
0.814568877,that she si pleased with the result
0.8456332679999999,The colorful drinks stood out because they looked pretty.
0.607026458,The Little Mermaid
0.44015789,fuel
0.945893109,Use this to be beautiful
0.629384399,because is inside the campus
0.9449344279999999,race fast coffee
0.366651654,It's 24 hour coverage.
0.328101963,look up records online
0.214322105,2 app
0.9342099429999999,easy to cook
0.825995624,Traveling
0.674467266,In it together
0.242790192,everything was appeling to me in the offer
0.589946628,Up to 20% solution
0.96018815,Quick and prompt service
0.841055214,"Mandatory insurance coverage, Health Exchange, hopefully high deductibles"
0.7499654290000001,Used for variety of things
0.13163203,no
0.45943275100000003,drive carefully
0.97171098,I use them for game pieces and small pieces like legos
0.598886311,I have never been offered information about Qdoba when I do eat there.
0.6615256070000001,to earn free entrees
0.5706088539999999,Repeal medicaid expansion
0.45115315899999997,International Bollywood channels
0.20627725100000002,She looks like a barbie
0.037415229,not real chicken
0.026294176000000002,dont pay for uninsured drivers
0.607376039,To pack snacks for school. Freezing items and keeping them from getting freezer burnt.
0.955099702,set options for privacy
0.8111675979999999,my health plan
0.926133454,Family and friends
0.534295321,roast beef sandwich
0.55855602,to open the cake shop
0.9430245759999999,"It is clean, simple and to the point."
0.084918939,The Racetrac I went to was out of them
0.025049441000000002,Do not like either candidate.
0.007079217,It doesn't seem like it would be worth the effort.
0.987446666,catching up with family
0.887571096,A calendar of upcoming events
0.021979356000000002,Not being able to register for classes like MCOM
0.9507312179999999,Safer driving benefits everyone
0.8126746420000001,Trusted brand
0.81135577,yogurt with granola and fruit
0.598729789,Tires hold up when hitting large potholes
0.7642856240000001,if they look and feel good
0.860116303,TRAINING FOR ARMED CONFLICT
0.498310119,I've ordered in Indian food
0.743534923,deploying the insurance market place to buy insurance and being taxed on the insurance benefits
0.795958519,Is the doctor in network
0.786749005,Healthy
0.669354081,The staff cared
0.927464485,they are there ro protect my family
0.8648003940000001,It is a duty to vote
0.60241353499999994,India indcredable
0.048249337999999996,i would not because its not good
0.9777609709999999,I always have received excellent customer service.
0.5637573,Being able to browse the products and not feel pressured
0.7852567429999999,made with natural ingredients
0.300580144,That nobody pays you during your first summer
0.67616564,storing cut fruit
0.75167048,I was very please with the sales and service I was offered.
0.963565052,"create a warm, inviting, hospitable, caring environment where the patient feels valued"
0.807713091,more job opportunities
0.176593319,The description of the product attracts buyers
0.862061977,I actually don't often look in the sandwich coolers at convenience stores
0.21108308399999998,I actually see a specialist doctor and not an arnp
0.35967198,Store rolls
0.982534349,unique sandwiches
0.083220005,Difficult to obtain equipment
0.7449213859999999,Increase competition.
0.817942321,education regarding realistic expectations
0.674747944,Become paperless
0.84971416,No mess packing
0.347015798,Prefer her as an actress
0.9766776559999999,Professional quality
0.024122227000000003,not eating healthy
0.7605455520000001,drive with care
0.687100768,Reduce human causes of climate change
0.055706602,Gimmicks to sell insurance
0.375411987,Meant to - just haven't done it yet.
0.246302456,Trump needs to go.
0.111075088,vulnerable popuations would be at risk
0.834919035,Replacement car
0.51873821,location
0.95844388,It looks easy to use and is inexpensive.
0.968902409,SAFER DRIVERS ARE REWARDED.
0.733677149,"by definition of reliability,  not having to think about them a"
0.25941261600000004,To hold my daughters pacifiers and bottle cleaners
0.972780049,the sales personnel gave us an excellent service. I came to know what's the best for me.
0.32090315199999997,BYU's tuition.
0.474181384,I anticipate the entire progrm will be repelled.  Next time someon should read it befoe it is passed
0.542452395,I would like to know the colors offered
0.4216817020000001,I've just done this bit!!!!!!!!!!!
0.9844257829999999,Great for small Lego pieces
0.44735834,For freezing food
0.20866142199999999,The ingredients that are in the chicken
0.984321535,Technology and seed within agriculture has become a vital part of my day to day choices
0.62438494,test-driven healthcare
0.00614598,this particular products has lots of chemicals in their makeup which i want to avoid
0.769178927,the brand also makes steaks
0.514600515,staff
0.43381249899999996,Reliability means that the tires do not get holes in them easily and last a long time
0.728389263,"Direct, to-the-point sale associates"
0.36717543,Ready in 5 mins
0.9897703529999999,great for kids lunches
0.321048349,call pet store
0.983659029,love the night serum
0.90175575,"Schedule of road projects--resurfacing, etc."
0.922354043,ORGANIC!
0.34708038,I wanted a doctor who is gay because I am gay.
0.6832542420000001,I can video chat my doctor instead of going in.
0.07702084599999999,The Mormon church does not allow it's member to be themselves
0.958084583,"I am hoping my health is very good still. I want to have a caring, dependable family doctor."
0.907492042,safe driving
0.921527565,long lasting
0.910739958,Lasting
0.7981852890000001,snacks
0.983393073,handy for cleaning while out of the house
0.893766046,Christmas is about competition.  Who gets the most advanced and expensive gifts.
0.373568505,24 hour coverage
0.672479391,takes my insurance
0.90189606,Something that looks good.
0.40625283100000004,Worried about cost and difficulty
0.936134279,reliable
0.310948729,I know what the chicken's diet was
0.209538728,Startup Cost
0.858373642,It seems like a good idea as it would be as fresh as possible.
0.286464125,24 hour
0.967256963,good on the go
0.08700203199999999,Don't wear fast
0.580116391,number of times allowed refill each day
0.220195845,No drug addicts
0.900117517,The assortment of products and you get a nice bag too wonderful
0.115603328,I prefer Verizon and my Samsung Smartphone
0.45004811899999997,Size.
0.8574320670000001,I KNOW HER BETTER THAN THE OTHERS AND SHE HAS BEEN GOOD
0.525141895,We are old age pensioners
0.972999394,rewards for safe driving
0.56057632,The anger to go away
0.9387905000000001,I enjoy RaceTrac as a company and would be happy to purchase quality coffee there
0.66747433,Shelf life
0.98322773,Good way to keep cereal fresh
0.956778586,Salads taste good.
0.235978708,I don't know
0.781538904,It is less expensive than living off campus
0.440513194,Elimate the tax penalty on individuals who don't participate in health plans
0.669617176,more patience with people as individuals
0.35532701,"Coffee or soft drink, sandwich & chips"
0.102236718,All of it will be repealed because Trump is not smart enough to see any good parts.
0.312786281,4 chicken breasts
0.979393363,he was a good doctor with a great staff
0.49580878,Sized
0.36212968799999995,minimum benefits
0.015527203,No reply
0.757885635,li calidad
0.766705215,the different types of products and the amount of products in the case
0.9449726340000001,i REALLY LIKE THE PACKAGING OF THE PRODUCT
0.9243658779999999,A good ingredients guide that compares results of a brew to known beers
0.21177636100000002,Subsidies. The individual mandate. Health insurer tax. Guarantee issue.
0.67092669,Grilled food
0.8748064040000001,have lots of phones
0.896078765,Gentle cleaning of face
0.38947725299999997,for left overs and lunches
0.9971264009999999,Great case.  Great products.  Great price.
0.445270389,Control costs and negotiate pricing
0.012810138,money waste
0.19791375100000005,"Cannot make a blend of different types of coffee, like present method"
0.953389466,fresh ground is best
0.9031123520000001,Respect for human rights
0.545471966,the idea that it's quick and easy
0.911271453,Quality of drinks available
0.93328964700000006,Attractive packaging
0.494030625,To improve the look of the area
0.765728235,Gogo Juice
0.14245961599999998,I would expect lower costs for better services
0.250182897,"I'm usually looking for something to eat as a meal, not as a snack."
0.434649766,END THIS
0.496249646,Health Insurance Exchange
0.913844764,big upfront investment
0.287583113,font
0.019099526000000002,The salesperson wasn't able to answer all my questions
0.073568933,clinton is dishonest
0.9553650020000001,Having tires that take care of you and keep you safe.
0.603369057,Storing leftover foods.
0.037868686,The worsening of rewards was awful
0.9286975270000001,Gave enough information to review
0.37034720200000004,I need to get gas.
4.17182e-4,very boring ad
0.985455513,yummy steak sandwich
0.981721938,a good brand and last long
0.9840077159999999,Those are great products and the offer is fantastic
0.008092041999999999,Wouldn't purchase because I can't see the product
0.716551065,The ability to connect with celebrities
0.309900373,More medical issues
0.001965283,"Did not see any real reward in the program, too many purchases to earn rewards I didn't find useful"
0.658972979,more promotions
0.934163511,being online makes it easier to research whatever i want
0.15815644,additional school expenses
0.057743728,"If I don't get the surgery, I'm worthless."
0.023093797000000003,I prefer another brand of phone - Nokia Lumia
0.9661874770000001,Fresher coffee.
0.243231461,Really?
0.7012282609999999,all the products for a discounted price
0.520677269,Is the volume adjustable to a very loud range?
0.351075679,jerk chicken
0.721640825,for lunch at work
0.8218988779999999,More eco-friendly
0.9326271420000001,It's affordable
0.812203705,training
0.663842619,Orange flavoured milk chocolate
0.924229205,looks good
0.279846937,Cosmetic surgery can change your appearance for the better.
0.782263398,don't want the most corrupt person I've ever known to be in such a important and powerful posiion
0.416627407,Issues happening in the city (i.e. speeding issues or accidents and how to prevent them)
0.671557903,to keep random supplies
0.8901217579999999,knowing they'll last and preform
0.07582786700000001,don't think they'll get in
0.201192454,What is the range?
0.8879653809999999,art supply storage
0.201633945,I live in a community where there is a large gap between rich and poor
0.96643728,i use plastic bags to put snacks in for my sons lunch i use them to seperate meats
0.93700707,Keeping your health records safe and available.
0.019632358,Data wasn't going to transfer had to resign didn't want to do it again data shouldn't have got lost
0.393120945,Better package options
0.405063599,leaves changing
0.59499532,"a ham sandwich, fruit, and a drink"
0.627946019,You can access the program anywhere
0.400648564,"because she isnt the usual ""barbie"" type, with pale skin, brunette hair, im sure she would be perfec"
0.242000341,"I am aware of this practice and factor this in when i look at sales prices, doesn't bother me"
0.576957941,My opinion is that they will improve on the Exchanges
0.11165721699999999,i would be very upset and report them
0.997169018,"Fresh coffe, clean and nice surroundings and a ood quality with lots of different options to choose"
0.67559886,Texas beef
0.7707365159999999,drive fast
0.885210395,I chose my doctor based on a list provided by my insurance company
0.531345844,some kind of steak
0.676230729,Holiday
0.9638422729999999,i love getting free food and perks
0.656246901,more social outlets/activities
0.578114986,Prices
